,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,X,Y,Merkez,Uzaklik,Açi,Açi_D,Gol,Kafa Vuruşu,Ceza Sahasi İçi,accurate,D2,Goal,AçiX,AçiY,Dar Açi,X2,AX,Y2,Uzaklik2,Merkez2,YEXP,Açi2,xG
500587,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",8319,"[{'y': 63, 'x': 72}, {'y': 100, 'x': 100}]",2500014,Shot,1612,2H,1080.8465420000002,100,233364071,29.400000000000002,42.84,8.84,30.70025407060991,0.22761415406417038,13.041330385317456,0,0,False,0,942.5056000000003,0,6.6918561294866095,9.750990360109059,True,864.3600000000001,6.6918561294866095,1835.2656000000004,942.5056000000003,78.1456,15.759955259784592,0.05180820313034789,0.002581715298343567
500705,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",15808,"[{'y': 44, 'x': 73}, {'y': 100, 'x': 100}]",2500014,Shot,1612,2H,1705.80886,100,233364189,28.35,29.92,4.08,28.642082675671475,0.25170691862348576,14.421744111368596,0,0,False,0,820.3689,0,7.135891142975821,7.531071005214694,True,803.7225000000001,7.135891142975821,895.2064000000001,820.3689,16.6464,11.006952879849555,0.06335637288293008,0.0043536363426445596
500894,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 201}, {'id': 1802}]",7906,"[{'y': 44, 'x': 88}, {'y': 0, 'x': 0}]",2500014,Shot,1611,2H,2386.432541,100,233364382,12.600000000000001,29.92,4.08,13.244108123992346,0.517536538653469,29.65265940865297,0,0,True,0,175.40640000000005,0,6.5209603870337105,15.484693236511795,False,158.76000000000005,6.5209603870337105,895.2064000000001,175.40640000000005,16.6464,11.006952879849555,0.26784406884141365,0.061767586625981225
500957,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",116,"[{'y': 64, 'x': 78}, {'y': 100, 'x': 100}]",2500014,Shot,1612,2H,2644.4289879999997,100,233364445,23.1,43.52,9.520000000000001,24.984803381255574,0.27005433324209477,15.472973533991519,0,0,False,0,624.2404,0,6.23825509789239,11.752764582695965,False,533.61,6.23825509789239,1893.9904000000004,624.2404,90.63040000000002,16.010113279781173,0.07292934290283237,0.006974192095844844
501073,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",25393,"[{'y': 50, 'x': 76}, {'y': 100, 'x': 100}]",2500014,Shot,1612,2H,2994.1712989999996,100,233364569,25.200000000000003,34.0,0.0,25.200000000000003,0.28845921237714,16.527495430878,0,0,False,0,635.0400000000002,0,7.269172151903929,9.80761322082276,True,635.0400000000002,7.269172151903929,1156.0,635.0400000000002,0.0,12.50790099982904,0.08320871720523997,0.007560398894198648
501079,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1214}, {'id': 1802}]",120353,"[{'y': 60, 'x': 88}, {'y': 100, 'x': 100}]",2500014,Shot,1612,2H,3024.854775,100,233364573,12.600000000000001,40.800000000000004,6.800000000000001,14.317821063276355,0.44863025411244917,25.704620122524982,0,0,True,0,205.00000000000006,0,5.65274120181686,18.30411436778793,False,158.76000000000005,5.65274120181686,1664.6400000000003,205.00000000000006,46.24000000000001,15.009481199794848,0.20126910490500072,0.04539585908380325
501117,10,Shot,"[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}]",254898,"[{'y': 36, 'x': 88}, {'y': 0, 'x': 0}]",2500015,Shot,1613,1H,63.32284099999998,100,233476346,12.600000000000001,24.48,9.520000000000001,15.792099290468006,0.37256950302998676,21.346660098904778,1,0,True,1,249.39040000000008,1,4.6943757381778335,9.120501434174075,False,158.76000000000005,4.6943757381778335,599.2704,249.39040000000008,90.63040000000002,9.00568871987691,0.1388080345880113,0.04306763549043115
501605,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}]",12536,"[{'y': 51, 'x': 82}, {'y': 0, 'x': 0}]",2500015,Shot,1613,1H,1479.231759,100,233476845,18.900000000000002,34.68,0.68,18.91222884802318,0.382101106702182,21.89278076131296,0,0,False,1,357.67240000000015,0,7.221710916671241,13.251266380431671,False,357.2100000000001,7.221710916671241,1202.7024,357.67240000000015,0.4624000000000001,12.75805901982562,0.14600125574303227,0.022348928591171224
501624,10,Shot,"[{'id': 402}, {'id': 1216}, {'id': 1802}]",70389,"[{'y': 72, 'x': 71}, {'y': 100, 'x': 100}]",2500015,Shot,1619,1H,1583.124657,100,233476882,30.450000000000003,48.96,14.96,33.92645133225697,0.19348105631672183,11.085647942681158,0,0,False,0,1151.0041000000006,0,5.89149816484418,9.472832517266701,True,927.2025000000002,5.89149816484418,2397.0816,1151.0041000000006,223.80160000000004,18.01137743975382,0.037434919153434484,0.0013563504987655402
501657,10,Shot,"[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",254898,"[{'y': 36, 'x': 92}, {'y': 0, 'x': 0}]",2500015,Shot,1613,1H,1712.002025,100,233477196,8.4,24.48,9.520000000000001,12.696078134605191,0.39425387225777303,22.589082937060287,1,0,True,1,161.19040000000004,1,3.3117325269652937,9.651334792870284,False,70.56,3.3117325269652937,599.2704,161.19040000000004,90.63040000000002,9.00568871987691,0.1554361157902484,0.07204860346951164
501982,10,Shot,"[{'id': 402}, {'id': 1210}, {'id': 1802}]",3523,"[{'y': 26, 'x': 76}, {'y': 0, 'x': 0}]",2500015,Shot,1613,2H,207.38128599999982,100,233477289,25.200000000000003,17.68,16.32,30.02303115942826,0.20481978440679313,11.735309207288676,0,0,False,0,901.3824000000002,0,5.161458567051188,3.6212137883121027,True,635.0400000000002,5.161458567051188,312.5824,901.3824000000002,266.3424,6.5041085199111,0.04195114408444522,0.003981117318077487
502022,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",230883,"[{'y': 34, 'x': 89}, {'y': 0, 'x': 0}]",2500015,Shot,1613,2H,339.90177200000016,100,233477349,11.55,23.12,10.88,15.867479320925552,0.34082651041106826,19.527920592725824,0,0,True,0,251.7769,0,3.9365461952478387,7.879908920703898,False,133.4025,3.9365461952478387,534.5344,251.7769,118.37440000000002,8.505372679883747,0.11616271019898602,0.043225945341080624
502028,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1216}, {'id': 1802}]",230883,"[{'y': 35, 'x': 91}, {'y': 0, 'x': 0}]",2500015,Shot,1613,2H,369.58395999999993,100,233477356,9.450000000000001,23.8,10.200000000000001,13.904765370188741,0.36699786794333816,21.027428923452806,0,1,True,0,193.34250000000003,0,3.468129852064546,8.734549257051448,False,89.30250000000002,3.468129852064546,566.44,193.34250000000003,104.04000000000002,8.755530699880328,0.13468743507495587,0.05952611194394966
502061,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1212}, {'id': 1802}]",254898,"[{'y': 58, 'x': 86}, {'y': 0, 'x': 0}]",2500015,Shot,1613,2H,489.124288,100,233477397,14.700000000000001,39.440000000000005,5.44,15.674297432421016,0.4338057243336967,24.855237132936455,0,0,True,0,245.68360000000004,0,6.376944147705342,17.109297767721,False,216.09000000000003,6.376944147705342,1555.5136000000005,245.68360000000004,29.593600000000006,14.509165159801688,0.18818740646468324,0.0366942002950406
502120,10,Shot,"[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}]",9227,"[{'y': 56, 'x': 82}, {'y': 0, 'x': 0}]",2500015,Shot,1613,2H,666.0747839999999,100,233477449,18.900000000000002,38.080000000000005,4.08,19.335366559752625,0.3664709351795153,20.997237899998595,1,0,False,1,373.85640000000006,1,6.92630067489284,13.955213211635945,False,357.2100000000001,6.92630067489284,1450.0864000000004,373.85640000000006,16.6464,14.008849119808527,0.1343009463313485,0.019928726332848496
502152,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",86239,"[{'y': 54, 'x': 92}, {'y': 100, 'x': 100}]",2500015,Shot,1619,2H,835.9280819999999,100,233477437,8.4,36.720000000000006,2.72,8.829405415994895,0.7610096601399547,43.60264169470456,0,0,True,1,77.95839999999998,0,6.39248114517562,27.94427472033914,False,70.56,6.39248114517562,1348.3584000000005,77.95839999999998,7.398400000000001,13.508533079815365,0.5791357028263294,0.11621986644185331
502244,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1215}, {'id': 1802}]",7885,"[{'y': 51, 'x': 89}, {'y': 100, 'x': 100}]",2500015,Shot,1619,2H,1149.3273870000003,100,233477543,11.55,34.68,0.68,11.57,0.6119365854736338,35.06138367728578,0,1,True,0,133.8649,0,7.067867562220472,21.221960784225622,False,133.4025,7.067867562220472,1202.7024,133.8649,0.4624000000000001,12.75805901982562,0.37446638464112997,0.07687572573501739
502258,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",302520,"[{'y': 52, 'x': 75}, {'y': 100, 'x': 100}]",2500015,Shot,1619,2H,1212.1417300000003,100,233477557,26.25,35.36,1.36,26.2852068662204,0.27635248679538477,15.83383115132036,0,0,False,0,690.9121,0,7.25425277837885,9.771823933084805,True,689.0625,7.25425277837885,1250.3296,690.9121,1.8496000000000004,13.0082170398222,0.07637069695799331,0.006148304714215066
502264,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1215}, {'id': 1802}]",8136,"[{'y': 43, 'x': 91}, {'y': 100, 'x': 100}]",2500015,Shot,1619,2H,1256.1667779999998,100,233477565,9.450000000000001,29.240000000000002,4.760000000000001,10.581119978527795,0.6119427438559644,35.06173652660195,0,1,True,0,111.96010000000004,0,5.782858929438864,17.8932058303484,False,89.30250000000002,5.782858929438864,854.9776000000002,111.96010000000004,22.657600000000006,10.756794859852974,0.3744739217579664,0.09593452533663863
502433,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1204}, {'id': 1801}]",302520,"[{'y': 67, 'x': 81}, {'y': 100, 'x': 100}]",2500015,Shot,1619,2H,1858.7188450000003,100,233477727,19.95,45.56,11.56,23.057235306948662,0.27466602628243997,15.737204081613156,0,0,False,1,531.6360999999999,0,5.4795872243346775,12.513784157427965,False,398.0025,5.4795872243346775,2075.7136,531.6360999999999,133.6336,16.760587339770915,0.075441425993786,0.009522242900180342
502848,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",70086,"[{'y': 65, 'x': 87}, {'y': 100, 'x': 100}]",2500016,Shot,1625,1H,376.935419,100,233969809,13.65,44.2,10.200000000000001,17.040026408430244,0.34622637282939833,19.837309919247446,0,0,True,0,290.3625000000001,0,4.725989989121287,15.303205679059408,False,186.32250000000002,4.725989989121287,1953.6400000000003,290.3625000000001,104.04000000000002,16.260271299777752,0.11987270124260153,0.027445007214532656
502925,10,Shot,"[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1203}, {'id': 1801}]",8317,"[{'y': 48, 'x': 89}, {'y': 100, 'x': 100}]",2500016,Shot,1625,1H,557.928768,100,233969884,11.55,32.64,1.36,11.62979363531443,0.6065636187238165,34.75353535905712,1,0,True,1,135.2521,1,7.005809796260081,19.79823651514537,False,133.4025,7.005809796260081,1065.3696,135.2521,1.8496000000000004,12.007584959835878,0.3679194235593314,0.07794942676296963
503133,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 201}, {'id': 1802}]",207164,"[{'y': 62, 'x': 83}, {'y': 0, 'x': 0}]",2500016,Shot,1639,1H,1242.119066,100,233970109,17.85,42.160000000000004,8.16,19.626719032991737,0.3379384573899999,19.3624473436086,0,0,False,0,385.2081000000001,0,6.032201464411498,14.247485363562397,False,318.62250000000006,6.032201464411498,1777.4656000000002,385.2081000000001,66.5856,15.50979723978801,0.11420240098313277,0.018024688893435472
503238,10,Shot,"[{'id': 401}, {'id': 1214}, {'id': 1802}]",105339,"[{'y': 44, 'x': 72}, {'y': 100, 'x': 100}]",2500016,Shot,1625,1H,1557.267526,100,233970218,29.400000000000002,29.92,4.08,29.68175196985515,0.2431394244175078,13.930862852363271,0,0,False,0,881.0064,0,7.1482990778747295,7.274731578571834,True,864.3600000000001,7.1482990778747295,895.2064000000001,881.0064,16.6464,11.006952879849555,0.05911677970607699,0.003627775199569438
503482,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",105339,"[{'y': 46, 'x': 76}, {'y': 100, 'x': 100}]",2500016,Shot,1625,1H,2401.658682,100,233970464,25.200000000000003,31.28,2.72,25.346368576188585,0.2852485870530321,16.343540150208796,0,0,False,1,642.4384000000001,0,7.188264393736409,8.922575803018844,True,635.0400000000002,7.188264393736409,978.4384000000001,642.4384000000001,7.398400000000001,11.507268919842717,0.08136675641575122,0.007622900785712361
503492,10,Shot,"[{'id': 402}, {'id': 1214}, {'id': 1802}]",38021,"[{'y': 74, 'x': 85}, {'y': 100, 'x': 100}]",2500016,Shot,1625,1H,2436.841539,100,233970473,15.75,50.32,16.32,22.680496026321823,0.22617807168675966,12.959048926058708,0,0,True,0,514.4049,0,3.5623046290664644,11.381280567277747,False,248.0625,3.5623046290664644,2532.1024,514.4049,266.3424,18.511693479746977,0.05115652011194099,0.00958713096136408
